recommendation_id,prediction_id,warning_id,recommended_function,recommendation_text,priority,status,created_at
REC-0073,PRD-00161,WRN-0073,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Kramat Pela, Kebayoran Baru pada 12:00-18:00 WIB terhadap CURAS. Dasar: prediksi PRD-00161 berskor 84/100 dengan keyakinan 79%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-10-17 15:10
REC-0074,PRD-00162,WRN-0074,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tebet Barat, Tebet pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00162 berskor 72/100 dengan keyakinan 80%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-12-04 15:10
REC-0075,PRD-00164,WRN-0075,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Duren Tiga, Pancoran pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00164 berskor 70/100 dengan keyakinan 62%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-10-08 15:10
REC-0076,PRD-00165,WRN-0076,Samapta,"Tingkatkan patroli dan penjagaan di Lebak Bulus, Cilandak pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00165 berskor 84/100 dengan keyakinan 82%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-03 15:10
REC-0077,PRD-00166,WRN-0077,Binmas,"Perkuat sambang dan penyuluhan warga di Kuningan Timur, Setiabudi pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00166 berskor 90/100 dengan keyakinan 98%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-26 15:10
REC-0078,PRD-00167,WRN-0078,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Jagakarsa pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00167 berskor 94/100 dengan keyakinan 87%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-17 15:10
REC-0079,PRD-00170,WRN-0079,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Tegal Parang, Mampang Prapatan pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00170 berskor 73/100 dengan keyakinan 71%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Modified,2025-12-05 15:10
REC-0080,PRD-00173,WRN-0080,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Manggarai, Tebet pada 12:00-18:00 WIB terhadap CURAS. Dasar: prediksi PRD-00173 berskor 89/100 dengan keyakinan 97%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-10-29 15:10
REC-0081,PRD-00174,WRN-0081,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Cipete Utara, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00174 berskor 80/100 dengan keyakinan 83%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-10-09 15:10
REC-0082,PRD-00175,WRN-0082,Reskrim,"Perkuat penyelidikan dan pengungkapan di Gunung, Kebayoran Baru pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00175 berskor 76/100 dengan keyakinan 75%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Approved,2025-11-15 15:10
REC-0083,PRD-00177,WRN-0083,Reskrim,"Perkuat penyelidikan dan pengungkapan di Tegal Parang, Mampang Prapatan pada 12:00-18:00 WIB terhadap CURAT. Dasar: prediksi PRD-00177 berskor 91/100 dengan keyakinan 83%, faktor terkuat pola jendela waktu. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-26 15:10
REC-0084,PRD-00179,WRN-0084,Reskrim,"Perkuat penyelidikan dan pengungkapan di Mampang Prapatan pada 18:00-23:59 WIB terhadap CURANMOR. Dasar: prediksi PRD-00179 berskor 89/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-17 15:10
REC-0085,PRD-00185,WRN-0085,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Bintaro, Pesanggrahan pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00185 berskor 88/100 dengan keyakinan 84%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-17 16:00
REC-0086,PRD-00186,WRN-0086,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Bintaro, Pesanggrahan pada 18:00-23:59 WIB terhadap CURAS. Dasar: prediksi PRD-00186 berskor 73/100 dengan keyakinan 69%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Pending Review,2025-11-05 16:00
REC-0087,PRD-00187,WRN-0087,Samapta,"Tingkatkan patroli dan penjagaan di Petukangan Utara, Pesanggrahan pada 00:00-06:00 WIB terhadap CURAT. Dasar: prediksi PRD-00187 berskor 88/100 dengan keyakinan 91%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-15 22:00
REC-0088,PRD-00188,WRN-0088,Reskrim,"Perkuat penyelidikan dan pengungkapan di Bintaro, Pesanggrahan pada 00:00-06:00 WIB terhadap CURAS. Dasar: prediksi PRD-00188 berskor 89/100 dengan keyakinan 53%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-11-03 22:00
REC-0089,PRD-00190,WRN-0089,Intelkam,"Perkuat deteksi dini dan penggalangan informasi di Ulujami, Pesanggrahan pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00190 berskor 86/100 dengan keyakinan 53%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Modified,2025-12-24 16:00
REC-0090,PRD-00195,WRN-0090,Reskrim,"Perkuat penyelidikan dan pengungkapan di Petukangan Utara, Pesanggrahan pada 12:00-18:00 WIB terhadap CURAS. Dasar: prediksi PRD-00195 berskor 81/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-10-22 10:00
REC-0091,PRD-00196,WRN-0091,Lantas,"Tingkatkan pengaturan dan penjagaan arus lalu lintas di Ulujami, Pesanggrahan pada 06:00-12:00 WIB terhadap CURANMOR. Dasar: prediksi PRD-00196 berskor 87/100 dengan keyakinan 72%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Approved,2025-12-26 04:00
REC-0092,PRD-00198,WRN-0092,Binmas,"Perkuat sambang dan penyuluhan warga di Petukangan Utara, Pesanggrahan pada 06:00-12:00 WIB terhadap CURAT. Dasar: prediksi PRD-00198 berskor 76/100 dengan keyakinan 77%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Sedang,Rejected,2025-12-12 04:00
REC-0093,PRD-00200,WRN-0093,Samapta,"Tingkatkan patroli dan penjagaan di Ulujami, Pesanggrahan pada 06:00-12:00 WIB terhadap CURAT. Dasar: prediksi PRD-00200 berskor 85/100 dengan keyakinan 50%, faktor terkuat tren kejadian terkini. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-12-08 04:00
REC-0094,PRD-00202,WRN-0094,Reskrim,"Perkuat penyelidikan dan pengungkapan di Bintaro, Pesanggrahan pada 18:00-23:59 WIB terhadap CURAT. Dasar: prediksi PRD-00202 berskor 95/100 dengan keyakinan 97%, faktor terkuat kepadatan kejadian historis. Usulan, bukan perintah — keputusan tetap pada pejabat berwenang.",Tinggi,Pending Review,2025-11-11 16:00
