report_id,reported_at,incident_time,category,description,grid_id,latitude,longitude,location_text,urgency_score,verification_score,status
RPT-0108,2024-12-04T10:41+07:00,2024-12-03T14:01+07:00,Gangguan Lalu Lintas,Kendaraan berhenti di mulut persimpangan sehingga arus tersendat.,JKS-020,-6.234567,106.846484,"Sekitar Tebet Barat, di deretan pertokoan",27,53,Diteruskan
RPT-0109,2025-06-12T09:03+07:00,2025-06-10T22:16+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-011,-6.292962,106.774046,"Sekitar Lebak Bulus, di area parkir",47,23,Diverifikasi
RPT-0110,2025-03-26T13:48+07:00,2025-03-25T18:19+07:00,Keramaian Meresahkan,Balap liar berlangsung di jalan lurus setiap akhir pekan dini hari.,JKS-003,-6.246257,106.794793,"Sekitar Kramat Pela, dekat taman",63,81,Ditangani
RPT-0111,2025-12-22T16:01+07:00,2025-12-21T22:14+07:00,Pencurian Kendaraan,Sepeda motor hilang dari area parkir warung pada malam hari.,JKS-032,-6.311574,106.837693,"Sekitar Lenteng Agung, dekat pasar",65,25,Diverifikasi
RPT-0112,2025-07-18T09:17+07:00,2025-07-16T22:49+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-016,-6.285209,106.835928,"Sekitar Jati Padang, dekat pasar",67,27,Diverifikasi
RPT-0113,2025-02-16T02:28+07:00,2025-02-15T11:15+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,JKS-009,-6.279153,106.811212,"Sekitar Cipete Selatan, di deretan pertokoan",66,65,Diteruskan
RPT-0114,2024-06-24T22:18+07:00,2024-06-23T23:35+07:00,Kerawanan Lingkungan,Lahan kosong dijadikan tempat berkumpul tanpa penerangan sama sekali.,JKS-009,-6.280201,106.810441,"Sekitar Cipete Selatan, dekat halte",44,53,Ditangani
RPT-0115,2025-02-16T00:53+07:00,2025-02-15T06:34+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,JKS-028,-6.230023,106.834405,"Sekitar Kuningan Timur, dekat halte",45,65,Ditangani
RPT-0116,2025-07-29T22:42+07:00,2025-07-28T19:34+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-022,-6.240697,106.834883,"Sekitar Menteng Dalam, dekat taman",25,42,Diteruskan
RPT-0117,2025-12-29T23:44+07:00,2025-12-29T09:15+07:00,Kerawanan Lingkungan,Portal permukiman rusak dan tidak dapat ditutup pada malam hari.,JKS-029,-6.219010,106.837600,"Sekitar Menteng Atas, di deretan pertokoan",43,36,Diterima
RPT-0118,2025-11-19T16:03+07:00,2025-11-18T20:07+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-001,-6.226659,106.800593,"Sekitar Senayan, di deretan pertokoan",38,24,Diverifikasi
RPT-0119,2025-07-07T12:02+07:00,2025-07-06T11:01+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,JKS-029,-6.217481,106.839722,"Sekitar Menteng Atas, di area parkir",51,44,Diverifikasi
RPT-0120,2025-07-22T01:30+07:00,2025-07-20T19:26+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-016,-6.285107,106.834013,"Sekitar Jati Padang, di gang permukiman",40,44,Diverifikasi
RPT-0121,2024-04-27T01:02+07:00,2024-04-26T18:10+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-021,-6.230861,106.854488,"Sekitar Tebet Timur, dekat halte",11,88,Selesai
RPT-0122,2025-12-26T06:54+07:00,2025-12-25T16:40+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,,-6.212105,106.862078,"Wilayah Tebet, di area parkir",32,33,Diverifikasi
RPT-0123,2024-01-25T00:35+07:00,,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-003,-6.247014,106.793168,"Sekitar Kramat Pela, dekat pasar",94,69,Ditangani
RPT-0124,2025-10-30T05:16+07:00,,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,,-6.255890,106.780960,"Wilayah Kebayoran Lama, di gang permukiman",69,39,Diverifikasi
RPT-0125,2024-08-16T19:27+07:00,2024-08-16T01:21+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-032,-6.311924,106.835269,"Sekitar Lenteng Agung, di jalan utama",83,58,Ditangani
RPT-0126,2025-12-16T19:03+07:00,2025-12-16T18:16+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-029,-6.219340,106.840502,"Sekitar Menteng Atas, di deretan pertokoan",29,13,Diterima
RPT-0127,2025-10-08T21:24+07:00,,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-023,-6.209126,106.851751,"Sekitar Manggarai, di jalan utama",79,42,Diteruskan
RPT-0128,2025-10-23T23:43+07:00,2025-10-22T23:25+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-023,-6.207727,106.851251,"Sekitar Manggarai, dekat pasar",77,34,Diteruskan
RPT-0129,2023-12-17T14:54+07:00,2023-12-16T10:34+07:00,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,JKS-021,-6.229054,106.854852,"Sekitar Tebet Timur, di jalan utama",76,83,Ditangani
RPT-0130,2025-12-29T22:48+07:00,2025-12-29T00:10+07:00,Tawuran dan Perkelahian Kelompok,Perkelahian kelompok pecah setelah keributan di lapangan terbuka.,JKS-014,-6.274217,106.848626,"Sekitar Pejaten Timur, di kolong jalan layang",86,21,Diverifikasi
RPT-0131,2024-04-08T19:38+07:00,2024-04-07T20:34+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,,-6.228858,106.832348,"Wilayah Setiabudi, di gang permukiman",57,51,Diteruskan
RPT-0132,2025-04-22T15:04+07:00,2025-04-21T18:58+07:00,Pencurian Kendaraan,Kunci kendaraan tampak dirusak di parkiran belakang pertokoan.,JKS-022,-6.239031,106.833773,"Sekitar Menteng Dalam, di kolong jalan layang",73,34,Diteruskan
RPT-0133,2023-12-25T07:42+07:00,2023-12-25T05:23+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,,-6.293582,106.766410,"Wilayah Pesanggrahan, di area parkir",17,94,Selesai
RPT-0134,2025-06-25T21:18+07:00,2025-06-25T08:25+07:00,Kejahatan Jalanan,Pengendara motor dipepet dari belakang saat melintasi jalan yang minim lampu.,,-6.228110,106.742375,"Wilayah Pesanggrahan, dekat pasar",58,52,Diteruskan
RPT-0135,2024-11-29T07:38+07:00,2024-11-28T11:54+07:00,Tawuran dan Perkelahian Kelompok,Dua kelompok saling lempar batu di ujung gang menjelang tengah malam.,JKS-035,-6.229167,106.750753,"Sekitar Petukangan Utara, di kolong jalan layang",74,43,Diteruskan
RPT-0136,2024-09-14T22:55+07:00,2024-09-13T19:53+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-018,-6.253472,106.829392,"Sekitar Duren Tiga, di jalan utama",82,34,Diteruskan
RPT-0137,2025-12-05T19:39+07:00,2025-12-04T17:48+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-008,-6.230513,106.779440,"Sekitar Grogol Utara, di kolong jalan layang",72,49,Diverifikasi
RPT-0138,2024-09-29T09:26+07:00,2024-09-28T18:54+07:00,Pencurian Kendaraan,Mobil kehilangan kaca spion di bahu jalan permukiman.,JKS-028,-6.229396,106.833411,"Sekitar Kuningan Timur, di kolong jalan layang",61,77,Ditangani
RPT-0139,2025-11-25T23:25+07:00,2025-11-25T19:28+07:00,Kejahatan Jalanan,Percobaan penjambretan terhadap pejalan kaki di trotoar dekat perempatan.,JKS-020,-6.233890,106.846804,"Sekitar Tebet Barat, di jalan utama",68,36,Diverifikasi
RPT-0140,2025-02-08T07:43+07:00,2025-02-07T14:51+07:00,Keramaian Meresahkan,Kerumunan berkumpul sampai larut malam disertai suara bising.,JKS-025,-6.255697,106.814560,"Sekitar Bangka, dekat pasar",50,54,Diteruskan
RPT-0141,2025-12-20T12:22+07:00,2025-12-19T09:18+07:00,Gangguan Lalu Lintas,Parkir liar menutup separuh badan jalan pada jam sibuk.,JKS-035,-6.228732,106.750249,"Sekitar Petukangan Utara, di area parkir",23,36,Diverifikasi
RPT-0142,2025-08-30T00:04+07:00,,Tawuran dan Perkelahian Kelompok,Kerumunan membawa benda tumpul berkumpul di kolong jalan layang.,,-6.236235,106.844574,"Wilayah Tebet, di deretan pertokoan",66,31,Diverifikasi
RPT-0143,2024-11-23T21:15+07:00,2024-11-23T15:39+07:00,Kerawanan Lingkungan,Lampu penerangan jalan mati di sepanjang gang sehingga area menjadi gelap.,JKS-025,-6.256105,106.813064,"Sekitar Bangka, di jalan utama",38,67,Ditangani
RPT-0144,2023-06-27T08:41+07:00,2023-06-25T23:48+07:00,Kerawanan Lingkungan,Pos ronda tidak terpakai dan kaca jendelanya pecah.,JKS-035,-6.230471,106.750525,"Sekitar Petukangan Utara, dekat taman",24,75,Ditangani
RPT-0145,2025-07-01T16:51+07:00,2025-06-30T08:26+07:00,Gangguan Lalu Lintas,Bahu jalan berlubang dan membahayakan pengendara roda dua.,JKS-015,-6.309573,106.818800,"Sekitar Ragunan, dekat taman",30,42,Diteruskan
RPT-0146,2025-11-07T22:07+07:00,2025-11-07T15:03+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,JKS-031,-6.332198,106.794648,"Sekitar Ciganjur, di gang permukiman",47,42,Diteruskan
RPT-0147,2024-04-27T12:53+07:00,2024-04-26T20:18+07:00,Kejahatan Jalanan,Perampasan telepon genggam di pinggir jalan; pelaku langsung melarikan diri.,JKS-008,-6.229809,106.781047,"Sekitar Grogol Utara, di jalan utama",63,55,Ditangani
RPT-0148,2025-07-14T23:58+07:00,2025-07-14T19:43+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,JKS-029,-6.217453,106.838059,"Sekitar Menteng Atas, di jalan utama",51,31,Diverifikasi
RPT-0149,2023-06-01T22:31+07:00,2023-05-31T23:27+07:00,Kejahatan Jalanan,Aksi pemalakan terhadap pengguna jalan pada jam pulang kerja.,JKS-033,-6.344102,106.824362,"Sekitar Srengseng Sawah, di deretan pertokoan",52,77,Selesai
RPT-0150,2025-12-21T05:50+07:00,2025-12-20T11:48+07:00,Keramaian Meresahkan,Miras dikonsumsi terbuka di area parkir yang sepi pengawasan.,,-6.226071,106.782566,"Wilayah Pesanggrahan, dekat taman",43,28,Diverifikasi
